Day_of_week,Age_band_of_driver,Sex_of_driver,Type_of_vehicle,Area_accident_oc cured,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
Wednesday,18-30,Male,E-Bike,Office areas,Concrete barriers,Y Shape,Flood,Daylight,Raining,2,1,Female,Overspeed,Slight Injury
Sunday,Under 18,Female,Train,Highways,Concrete barriers,No junction,Flood,Night,Raining,2,1,Male,No distancing,Slight Injury
Sunday,31-50,Male,Aeroplane,Highways,Speed breaker,No junction,Flood,Night,Raining,2,1,Female,Overspeed,Slight Injury
Monday,31-50,Male,Aeroplane,Office areas,Concrete barriers,Y Shape,Flood,Daylight,Raining,2,1,Female,Overloading,Slight Injury
Monday,Under 18,Female,Aeroplane,Highways,Speed breaker,Y Shape,Flood,Daylight,Raining,2,1,Female,No distancing,Slight Injury
Wednesday,18-30,Male,Public,Highways,Concrete barriers,Crossing,Flood,Daylight,Raining,2,1,Male,Overspeed,Slight Injury
Wednesday,Under 18,Female,Lorry,Highways,One way,Crossing,Flood,Daylight,Raining,2,1,Male,No distancing,Slight Injury
Monday,31-50,Male,Public,Office areas,Double carriageway ,Crossing,Flood,Daylight,Raining,2,1,Female,Overspeed,Slight Injury
Monday,31-50,Male,E-Bike,Office areas,One way,Crossing,Flood,Daylight,Raining,2,1,Female,Overloading,Slight Injury
Wednesday,Under 18,Male,E-Bike,Office areas,Grass medians,Y Shape,Flood,Daylight,Raining,1,1,Male,Overspeed,Slight Injury
Tuesday,18-30,Male,Train,Office areas,Double carriageway ,Y Shape,Flood,Daylight,Raining,2,1,Female,Overspeed,Serious Injury
Tuesday,31-50,Male,Lorry,Highways,Concrete barriers,Y Shape,Flood,Daylight,Raining,2,1,Female,Overtaking,Serious Injury
Saturday,31-50,Male,Lorry,Office areas,Grass medians,Y Shape,Dry,Night,Raining,2,1,Female,Drunk driving,Slight Injury
Saturday,18-30,Male,Lorry,Highways,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Female,Drunk driving,Slight Injury
Thursday,18-30,Male,Public,Highways,Double carriageway ,Y Shape,Dry,Night,Raining,2,1,Female,Overspeed,Fatal injury
Thursday,31-50,Male,Public,Highways,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Male,Drunk driving,Fatal injury
Thursday,31-50,Male,Aeroplane,Office areas,Concrete barriers,Y Shape,Dry,Night,Normal,1,1,Female,Overspeed,Fatal injury
Saturday,31-50,Male,Public,Office areas,Concrete barriers,No junction,Dry,Daylight,Normal,1,1,Male,Overspeed,Fatal injury
Monday,Under 18,Female,Aeroplane,Office areas,Concrete barriers,No junction,Dry,Daylight,Normal,1,1,Male,Overspeed,Fatal injury
Monday,31-50,Male,Public,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,1,1,Male,Overloading,Fatal injury
Monday,Under 18,Male,Train,Highways,Grass medians,No junction,Moist,Night,Raining,2,1,Female,Moving Backward,Fatal injury
Monday,18-30,Male,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Raining,2,1,Male,Overspeed,Fatal injury
Tuesday,18-30,Male,Lorry,Residential areas,Concrete barriers,Crossing,Dry,Night,Normal,1,1,Female,Overloading,Fatal injury
Friday,Under 18,Male,Aeroplane,Market areas,Concrete barriers,Crossing,Dry,Daylight,Normal,1,1,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,Lorry,Office areas,Grass medians,No junction,Dry,Daylight,Raining,2,1,Male,Overspeed,Fatal injury
Tuesday,31-50,Male,Lorry,Highways,Grass medians,No junction,Dry,Daylight,Raining,2,1,Female,Overspeed,Fatal injury
Tuesday,31-50,Male,Public,Highways,Double carriageway ,Y Shape,Moist,Daylight,Raining,1,1,Male,Overloading,Fatal injury
Tuesday,31-50,Male,E-Bike,Highways,Double carriageway ,Crossing,Dry,Night,Raining,2,1,Female,Overloading,Fatal injury
Tuesday,31-50,Male,E-Bike,Highways,Concrete barriers,Crossing,Dry,Night,Raining,2,1,Female,Overspeed,Fatal injury
Tuesday,18-30,Male,E-Bike,Office areas,Double carriageway ,Crossing,Dry,Night,Raining,1,1,Male,Overtaking,Fatal injury
Wednesday,31-50,Male,Public,Office areas,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Female,Overloading,Fatal injury
Wednesday,31-50,Male,Train,Office areas,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Female,No distancing,Fatal injury
Wednesday,Under 18,Female,Taxi,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Raining,1,1,Female,Overspeed,Slight Injury
Wednesday,31-50,Male,Train,Office areas,One way,Crossing,Dry,Daylight,Raining,1,1,Male,Overloading,Slight Injury
Wednesday,18-30,Male,Taxi,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Raining,3,2,Male,Overloading,Serious Injury
Wednesday,18-30,Male,Aeroplane,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Normal,3,2,Male,Overtaking,Serious Injury
Wednesday,18-30,Male,Train,Highways,Grass medians,Y Shape,Dry,Daylight,Normal,3,2,Male,Overspeed,Serious Injury
Wednesday,31-50,Male,Cycle,Highways,Concrete barriers,Crossing,Dry,Night,Normal,2,1,Female,Drunk driving,Slight Injury
Wednesday,31-50,Male,Cycle,Residential areas,Concrete barriers,Crossing,Dry,Night,Normal,2,1,Male,Overtaking,Slight Injury
Tuesday,18-30,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Daylight,Raining,2,1,Male,Overspeed,Slight Injury
Tuesday,Over 51,Male,Aeroplane,Highways,Concrete barriers,Y Shape,Moist,Daylight,Raining,2,1,Female,Moving Backward,Slight Injury
Thursday,18-30,Male,Aeroplane,Highways,Concrete barriers,Crossing,Dry,Daylight,Normal,1,1,Male,Overspeed,Slight Injury
Thursday,31-50,Male,E-Bike,Highways,Grass medians,No junction,Moist,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,31-50,Male,Aeroplane,Industrial areas,Grass medians,No junction,Moist,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,18-30,Male,E-Bike,Industrial areas,Grass medians,No junction,Dry,Daylight,Normal,1,1,Male,Overloading,Serious Injury
Sunday,31-50,Male,Public,Highways,Double carriageway ,Y Shape,Dry,Night,Normal,2,1,Female,Overloading,Slight Injury
Sunday,31-50,Male,Lorry,Highways,Grass medians,Y Shape,Dry,Night,Normal,2,1,Male,Overloading,Slight Injury
Sunday,18-30,Male,E-Bike,Highways,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Male,Drunk driving,Fatal injury
Sunday,18-30,Male,Public,Office areas,Grass medians,O Shape,Dry,Daylight,Normal,2,1,Female,Overtaking,Fatal injury
Sunday,18-30,Male,Lorry,Office areas,Grass medians,Y Shape,Moist,Night,Normal,2,2,Male,Moving Backward,Fatal injury
Sunday,18-30,Male,Public,Residential areas,Concrete barriers,Y Shape,Moist,Night,Normal,2,2,Male,Drunk driving,Fatal injury
Saturday,18-30,Male,Cycle,Industrial areas,Grass medians,Y Shape,Dry,Night,Normal,1,1,Female,Moving Backward,Fatal injury
Sunday,18-30,Male,Cycle,Office areas,Grass medians,Y Shape,Dry,Night,Normal,1,1,Male,No distancing,Fatal injury
Saturday,18-30,Male,E-Bike,Highways,Grass medians,Y Shape,Moist,Night,Raining,2,1,Female,Overspeed,Fatal injury
Saturday,18-30,Male,E-Bike,Highways,Concrete barriers,Y Shape,Moist,Night,Raining,2,1,Male,Overspeed,Fatal injury
Thursday,Under 18,Male,Lorry,Residential areas,Grass medians,Y Shape,Moist,Daylight,Raining,1,1,Female,Overloading,Fatal injury
Friday,18-30,Male,E-Bike,Office areas,Concrete barriers,Y Shape,Moist,Night,Normal,2,1,Male,Overspeed,Fatal injury
Friday,31-50,Male,Public,Residential areas,Speed breaker,Y Shape,Moist,Night,Normal,2,1,Female,No distancing,Fatal injury
Friday,31-50,Male,E-Bike,Office areas,Concrete barriers,Crossing,Dry,Daylight,Normal,2,1,Male,Overspeed,Fatal injury
Friday,31-50,Male,Public,Highways,Concrete barriers,Crossing,Dry,Daylight,Raining,2,1,Male,No distancing,Fatal injury
Monday,31-50,Male,Lorry,Residential areas,Concrete barriers,Y Shape,Dry,Daylight,Raining,2,1,Female,Moving Backward,Fatal injury
Monday,31-50,Male,E-Bike,Market areas,Speed breaker,Y Shape,Dry,Daylight,Raining,2,1,Female,No distancing,Fatal injury
Monday,Under 18,Male,Train,Market areas,Speed breaker,No junction,Moist,Daylight,Raining,1,1,Male,Moving Backward,Fatal injury
Monday,31-50,Male,Public,Highways,Grass medians,No junction,Moist,Night,Raining,1,1,Female,Overspeed,Fatal injury
Tuesday,Over 51,Male,Public,Market areas,Double carriageway ,Y Shape,Dry,Daylight,Raining,2,1,Female,Overtaking,Fatal injury
Tuesday,31-50,Male,Cycle,Highways,Speed breaker,Y Shape,Dry,Daylight,Raining,2,1,Female,No distancing,Fatal injury
Tuesday,31-50,Male,Train,Industrial areas,Grass medians,Y Shape,Dry,Night,Raining,1,1,Male,Overspeed,Fatal injury
Tuesday,18-30,Male,Lorry,Highways,Concrete barriers,Y Shape,Moist,Night,Raining,2,1,Female,No distancing,Fatal injury
Tuesday,18-30,Male,Train,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,2,1,Female,Overspeed,Fatal injury
Friday,Under 18,Male,Lorry,Highways,Concrete barriers,No junction,Dry,Daylight,Raining,1,1,Male,Moving Backward,Fatal injury
Wednesday,31-50,Male,Public,Office areas,Double carriageway ,Y Shape,Dry,Daylight,Raining,1,1,Female,Overspeed,Fatal injury
Wednesday,Over 51,Male,Cycle,Office areas,Double carriageway ,No junction,Dry,Night,Raining,2,1,Female,No distancing,Fatal injury
Wednesday,Over 51,Male,Taxi,Office areas,Double carriageway ,No junction,Dry,Night,Raining,2,1,Male,Overspeed,Fatal injury
Wednesday,Under 18,Male,Cycle,Residential areas,Double carriageway ,Y Shape,Moist,Night,Raining,2,1,Male,Overspeed,Fatal injury
Wednesday,Under 18,Female,E-Bike,Office areas,Double carriageway ,Y Shape,Moist,Night,Raining,2,1,Female,Overspeed,Fatal injury
Thursday,31-50,Male,Cycle,Highways,Grass medians,Y Shape,Dry,Night,Raining,1,2,Male,Overspeed,Fatal injury
Thursday,31-50,Male,Lorry,Industrial areas,One way,Y Shape,Dry,Night,Raining,1,2,Male,Overtaking,Fatal injury
Friday,18-30,Male,E-Bike,Highways,One way,Y Shape,Dry,Daylight,Raining,2,1,Male,Overspeed,Fatal injury
Friday,Under 18,Male,E-Bike,Office areas,Double carriageway ,Y Shape,Dry,Daylight,Raining,2,1,Female,Overloading,Fatal injury
Friday,18-30,Male,Lorry,Office areas,Concrete barriers,Crossing,Dry,Night,Raining,2,1,Male,Overloading,Fatal injury
Friday,18-30,Male,E-Bike,Highways,Double carriageway ,Crossing,Dry,Night,Normal,2,1,Female,No distancing,Fatal injury
Friday,31-50,Male,E-Bike,Highways,Concrete barriers,No junction,Dry,Daylight,Normal,1,1,Male,No distancing,Fatal injury
Saturday,Over 51,Male,E-Bike,Office areas,Double carriageway ,Crossing,Moist,Night,Raining,1,1,Female,Overtaking,Fatal injury
Friday,31-50,Male,Taxi,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,2,3,Female,Overloading,Fatal injury
Friday,31-50,Male,Cycle,Office areas,Grass medians,Y Shape,Moist,Night,Raining,2,3,Female,Overspeed,Fatal injury
Friday,18-30,Male,Cycle,Highways,Grass medians,Y Shape,Moist,Night,Raining,2,3,Male,Overtaking,Fatal injury
Friday,18-30,Male,E-Bike,Highways,Grass medians,Y Shape,Moist,Night,Raining,2,3,Male,Overspeed,Fatal injury
Saturday,Under 18,Male,Taxi,Industrial areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Female,Moving Backward,Fatal injury
Saturday,18-30,Male,Cycle,Highways,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Male,Drunk driving,Fatal injury
Saturday,31-50,Male,E-Bike,Industrial areas,Speed breaker,No junction,Dry,Night,Normal,1,1,Female,No distancing,Fatal injury
Saturday,31-50,Male,Public,Market areas,Speed breaker,No junction,Dry,Night,Normal,2,1,Female,No distancing,Fatal injury
Saturday,Under 18,Male,Public,Highways,Double carriageway ,No junction,Dry,Night,Raining,2,1,Male,No distancing,Fatal injury
Saturday,31-50,Male,Train,Office areas,Concrete barriers,No junction,Dry,Night,Raining,1,1,Female,Overtaking,Fatal injury
Sunday,31-50,Male,Train,Residential areas,One way,Crossing,Dry,Night,Raining,2,2,Female,Overspeed,Fatal injury
Sunday,18-30,Male,Taxi,Highways,One way,Crossing,Dry,Night,Raining,2,2,Female,Drunk driving,Fatal injury
Sunday,18-30,Male,Train,Highways,Grass medians,Y Shape,Dry,Night,Raining,3,3,Male,Overtaking,Fatal injury
Sunday,18-30,Male,E-Bike,Industrial areas,One way,Y Shape,Dry,Night,Raining,3,3,Female,Overspeed,Fatal injury
Sunday,18-30,Male,E-Bike,Highways,Speed breaker,Y Shape,Dry,Night,Raining,3,3,Male,Overtaking,Fatal injury
Sunday,18-30,Male,Aeroplane,Office areas,Speed breaker,Y Shape,Dry,Night,Raining,3,3,Female,Overspeed,Fatal injury
Thursday,Over 51,Male,Taxi,Office areas,Grass medians,No junction,Dry,Daylight,Raining,2,1,Female,Overtaking,Fatal injury
Thursday,Under 18,Male,E-Bike,Office areas,Double carriageway ,No junction,Dry,Daylight,Raining,2,1,Male,No distancing,Fatal injury
Friday,31-50,Male,Train,Highways,Concrete barriers,No junction,Snow,Night,Raining,2,1,Male,Moving Backward,Fatal injury
Friday,31-50,Female,E-Bike,Office areas,Grass medians,No junction,Snow,Night,Raining,2,1,Female,Overtaking,Fatal injury
Monday,18-30,Male,Public,Highways,Double carriageway ,O Shape,Snow,Night,Raining,2,1,Male,Overspeed,Fatal injury
Monday,31-50,Male,Cycle,Industrial areas,Concrete barriers,O Shape,Snow,Night,Raining,2,1,Female,No distancing,Fatal injury
Monday,Over 51,Male,E-Bike,Residential areas,Speed breaker,Crossing,Snow,Daylight,Raining,1,1,Male,Moving Backward,Fatal injury
Monday,31-50,Male,Lorry,Highways,Concrete barriers,Crossing,Snow,Night,Raining,2,1,Male,No distancing,Fatal injury
Monday,31-50,Male,Cycle,Highways,One way,Crossing,Snow,Night,Raining,2,1,Male,Overtaking,Fatal injury
Friday,18-30,Male,Public,Highways,One way,Crossing,Snow,Daylight,Raining,2,3,Female,Overtaking,Fatal injury
Friday,18-30,Male,Cycle,Highways,Grass medians,Crossing,Snow,Daylight,Raining,2,3,Male,Overspeed,Fatal injury
Friday,18-30,Male,Public,Highways,Concrete barriers,Crossing,Snow,Daylight,Raining,2,3,Female,Overtaking,Fatal injury
Friday,Under 18,Male,Public,Residential areas,Speed breaker,Crossing,Snow,Daylight,Raining,2,3,Male,Overspeed,Fatal injury
Tuesday,Over 51,Male,E-Bike,Office areas,Concrete barriers,Crossing,Snow,Daylight,Raining,1,1,Male,Overspeed,Slight Injury
Tuesday,31-50,Male,Cycle,Office areas,Concrete barriers,No junction,Snow,Daylight,Raining,1,1,Female,Overspeed,Serious Injury
Tuesday,31-50,Male,E-Bike,Highways,Concrete barriers,Crossing,Snow,Night,Raining,1,1,Female,Overspeed,Slight Injury
Wednesday,31-50,Male,Lorry,Highways,One way,Y Shape,Snow,Night,Raining,1,1,Female,No distancing,Serious Injury
Wednesday,Over 51,Male,Public,Office areas,Concrete barriers,Crossing,Dry,Night,Raining,2,1,Male,Overtaking,Slight Injury
Wednesday,18-30,Male,Train,Office areas,Grass medians,Crossing,Dry,Night,Raining,2,1,Female,Overspeed,Slight Injury
Wednesday,31-50,Male,E-Bike,Highways,Concrete barriers,No junction,Dry,Night,Normal,1,1,Male,No distancing,Slight Injury
Thursday,Under 18,Female,E-Bike,Highways,Concrete barriers,No junction,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Thursday,18-30,Male,E-Bike,Residential areas,Concrete barriers,Y Shape,Moist,Night,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,18-30,Male,Aeroplane,Highways,Grass medians,Y Shape,Moist,Night,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,Under 18,Male,Public,Office areas,Grass medians,Y Shape,Moist,Night,Raining,2,1,Female,Overspeed,Slight Injury
Thursday,31-50,Male,Train,Office areas,Grass medians,Y Shape,Moist,Night,Raining,2,1,Female,Overloading,Slight Injury
Thursday,18-30,Male,Cycle,Highways,Grass medians,No junction,Dry,Daylight,Normal,1,1,Male,Overtaking,Slight Injury
Thursday,31-50,Male,Cycle,Highways,Concrete barriers,Crossing,Dry,Daylight,Normal,1,1,Male,Moving Backward,Slight Injury
Thursday,Under 18,Male,E-Bike,Highways,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Slight Injury
Thursday,31-50,Male,Train,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Normal,2,1,Male,Drunk driving,Slight Injury
Friday,31-50,Male,Lorry,Office areas,Concrete barriers,Crossing,Moist,Night,Raining,2,1,Female,Drunk driving,Slight Injury
Friday,Over 51,Male,Taxi,Highways,Concrete barriers,Crossing,Moist,Night,Raining,2,1,Male,Overspeed,Slight Injury
Saturday,31-50,Male,Train,Highways,Speed breaker,Crossing,Moist,Daylight,Raining,2,2,Female,Overtaking,Slight Injury
Saturday,18-30,Male,Train,Industrial areas,Grass medians,Crossing,Moist,Daylight,Raining,2,2,Male,Overloading,Slight Injury
Saturday,18-30,Male,Aeroplane,Highways,Grass medians,Crossing,Moist,Daylight,Raining,2,2,Female,Overspeed,Slight Injury
Friday,Over 51,Male,Aeroplane,Highways,Concrete barriers,Y Shape,Dry,Daylight,Normal,2,1,Female,No distancing,Serious Injury
Friday,18-30,Male,Train,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Serious Injury
Friday,18-30,Male,Cycle,Highways,One way,Crossing,Dry,Daylight,Raining,1,2,Male,Drunk driving,Slight Injury
Friday,18-30,Male,E-Bike,Industrial areas,Grass medians,Crossing,Dry,Daylight,Raining,1,2,Female,Overloading,Slight Injury
Saturday,31-50,Male,Lorry,Highways,Concrete barriers,Crossing,Dry,Night,Raining,1,1,Male,Overspeed,Slight Injury
Friday,Over 51,Male,Aeroplane,Highways,Concrete barriers,Crossing,Dry,Night,Raining,1,1,Female,Moving Backward,Fatal injury
Saturday,31-50,Male,Lorry,Residential areas,Grass medians,Crossing,Dry,Daylight,Raining,2,3,Male,Drunk driving,Fatal injury
Saturday,31-50,Male,E-Bike,Office areas,Concrete barriers,Crossing,Dry,Daylight,Raining,2,3,Male,Overloading,Fatal injury
Saturday,31-50,Male,Taxi,Highways,Concrete barriers,Crossing,Dry,Daylight,Raining,2,3,Male,Overspeed,Fatal injury
Saturday,18-30,Male,Lorry,Office areas,Grass medians,Crossing,Dry,Daylight,Raining,2,3,Male,Overspeed,Fatal injury
Saturday,Over 51,Male,Public,Office areas,Speed breaker,Y Shape,Moist,Night,Raining,2,1,Female,Moving Backward,Fatal injury
Saturday,18-30,Male,Train,Highways,One way,Y Shape,Moist,Night,Raining,2,1,Female,Overtaking,Fatal injury
Sunday,31-50,Male,E-Bike,Residential areas,Grass medians,Crossing,Dry,Night,Raining,2,1,Female,Moving Backward,Fatal injury
Sunday,Over 51,Male,E-Bike,Industrial areas,One way,Crossing,Dry,Night,Raining,2,1,Male,Overtaking,Fatal injury
Wednesday,Under 18,Male,Aeroplane,Highways,Grass medians,No junction,Dry,Daylight,Raining,1,1,Female,Overtaking,Fatal injury
Friday,Over 51,Male,Cycle,Highways,One way,Crossing,Dry,Night,Raining,2,1,Male,Overloading,Fatal injury
Friday,Under 18,Male,Train,Highways,Grass medians,Crossing,Dry,Night,Raining,2,1,Female,Overtaking,Fatal injury
Monday,18-30,Male,Public,Highways,Concrete barriers,Y Shape,Dry,Daylight,Raining,2,1,Female,Overloading,Fatal injury
Monday,31-50,Male,Public,Residential areas,Speed breaker,Y Shape,Dry,Daylight,Raining,2,1,Female,Overspeed,Fatal injury
Monday,31-50,Male,Aeroplane,Market areas,Speed breaker,Y Shape,Dry,Daylight,Raining,2,1,Female,Overspeed,Fatal injury
Monday,31-50,Male,Aeroplane,Highways,Concrete barriers,Y Shape,Dry,Daylight,Raining,2,1,Male,Overloading,Fatal injury
Monday,18-30,Male,Aeroplane,Highways,Speed breaker,Crossing,Dry,Daylight,Raining,1,1,Female,Moving Backward,Fatal injury
Monday,31-50,Male,Public,Highways,Concrete barriers,Y Shape,Dry,Night,Raining,1,1,Female,Overtaking,Fatal injury
Monday,31-50,Male,Lorry,Office areas,Grass medians,Y Shape,Dry,Night,Raining,2,1,Female,Overspeed,Fatal injury
Monday,Under 18,Female,Aeroplane,Office areas,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Male,No distancing,Fatal injury
Monday,18-30,Male,Public,Highways,Grass medians,No junction,Dry,Night,Raining,2,1,Female,Overspeed,Fatal injury
Monday,Under 18,Male,Aeroplane,Market areas,Grass medians,No junction,Dry,Night,Raining,2,1,Male,No distancing,Fatal injury
Friday,18-30,Male,Train,Highways,Grass medians,No junction,Dry,Night,Raining,2,1,Female,No distancing,Fatal injury
Friday,Under 18,Male,Aeroplane,Highways,Concrete barriers,No junction,Dry,Night,Raining,2,1,Female,Moving Backward,Fatal injury
Tuesday,Under 18,Male,Aeroplane,Highways,Grass medians,Crossing,Dry,Night,Raining,2,1,Female,Overloading,Fatal injury
Tuesday,31-50,Male,Aeroplane,Highways,Double carriageway ,Crossing,Dry,Night,Raining,2,1,Male,Overspeed,Fatal injury
Tuesday,18-30,Male,Taxi,Highways,Concrete barriers,No junction,Moist,Daylight,Raining,1,1,Male,Moving Backward,Fatal injury
Wednesday,31-50,Male,E-Bike,Market areas,Concrete barriers,Crossing,Moist,Snowy,Raining,2,1,Female,Overspeed,Fatal injury
Wednesday,31-50,Male,Aeroplane,Highways,Concrete barriers,Crossing,Moist,Snowy,Raining,2,1,Male,Overtaking,Fatal injury
Wednesday,Over 51,Male,Lorry,Highways,One way,No junction,Dry,Snowy,Raining,1,1,Female,Overloading,Fatal injury
Wednesday,31-50,Male,Public,Highways,Concrete barriers,No junction,Dry,Snowy,Raining,2,1,Female,Overloading,Fatal injury
Wednesday,31-50,Male,E-Bike,Office areas,Concrete barriers,No junction,Dry,Snowy,Raining,2,1,Female,Overspeed,Fatal injury
Friday,Over 51,Male,Taxi,Residential areas,Concrete barriers,Crossing,Dry,Snowy,Raining,3,1,Male,Overspeed,Fatal injury
Friday,Under 18,Female,Lorry,Highways,Concrete barriers,Crossing,Dry,Snowy,Raining,3,1,Female,Overtaking,Fatal injury
Friday,Under 18,Female,Public,Residential areas,Concrete barriers,Crossing,Dry,Snowy,Raining,3,1,Male,Overloading,Slight Injury
Wednesday,18-30,Female,Aeroplane,Highways,Grass medians,No junction,Dry,Snowy,Raining,1,1,Female,Overspeed,Serious Injury
Monday,31-50,Female,Lorry,Residential areas,Double carriageway ,Y Shape,Moist,Snowy,Raining,2,1,Male,Overspeed,Slight Injury
Monday,Under 18,Female,Taxi,Office areas,Concrete barriers,Y Shape,Moist,Daylight,Raining,2,1,Female,Overtaking,Slight Injury
Friday,31-50,Female,Aeroplane,Office areas,Concrete barriers,Crossing,Dry,Daylight,Raining,1,1,Male,Overspeed,Slight Injury
Thursday,31-50,Female,Lorry,Office areas,Double carriageway ,No junction,Dry,Night,Raining,2,1,Female,Overloading,Slight Injury
Thursday,31-50,Female,Taxi,Industrial areas,Concrete barriers,No junction,Dry,Night,Raining,2,1,Male,No distancing,Slight Injury
Friday,Over 51,Female,E-Bike,Highways,Concrete barriers,No junction,Dry,Daylight,Raining,1,1,Female,Overspeed,Serious Injury
Friday,31-50,Female,E-Bike,Highways,Speed breaker,Crossing,Dry,Night,Raining,2,1,Female,No distancing,Slight Injury
Friday,Over 51,Female,Train,Highways,Concrete barriers,Crossing,Dry,Night,Raining,2,1,Female,Overspeed,Slight Injury
Saturday,31-50,Female,Aeroplane,Highways,Double carriageway ,Y Shape,Moist,Night,Raining,2,1,Female,Overspeed,Slight Injury
Saturday,18-30,Female,Lorry,Highways,Grass medians,Y Shape,Moist,Night,Raining,2,1,Male,Overspeed,Slight Injury
Saturday,18-30,Female,Lorry,Office areas,Concrete barriers,Crossing,Dry,Daylight,Raining,2,1,Male,Overtaking,Slight Injury
Saturday,31-50,Female,Train,Office areas,Concrete barriers,Crossing,Dry,Daylight,Raining,2,1,Female,Overspeed,Slight Injury
Sunday,Under 18,Female,Train,Office areas,One way,Y Shape,Dry,Night,Raining,2,1,Male,Overtaking,Slight Injury
Sunday,18-30,Female,Public,Residential areas,Double carriageway ,Y Shape,Dry,Night,Raining,2,1,Female,Overspeed,Slight Injury
Sunday,31-50,Female,E-Bike,Industrial areas,Concrete barriers,Crossing,Dry,Daylight,Raining,2,1,Male,No distancing,Slight Injury
Sunday,18-30,Female,Public,Highways,Double carriageway ,Crossing,Dry,Daylight,Raining,2,1,Female,Overloading,Slight Injury
Tuesday,Under 18,Female,Lorry,Office areas,Grass medians,Y Shape,Dry,Daylight,Raining,1,1,Female,Overloading,Slight Injury
Monday,18-30,Female,E-Bike,Highways,Concrete barriers,No junction,Moist,Daylight,Raining,2,1,Male,Drunk driving,Slight Injury
Monday,31-50,Female,Lorry,Residential areas,Speed breaker,No junction,Moist,Daylight,Raining,2,1,Female,No distancing,Slight Injury
Monday,18-30,Female,Lorry,Market areas,Speed breaker,Crossing,Dry,Night,Raining,2,1,Female,Overloading,Slight Injury
Monday,Under 18,Female,Taxi,Office areas,Concrete barriers,Crossing,Dry,Night,Raining,2,1,Male,Overtaking,Slight Injury
Monday,18-30,Female,Aeroplane,Highways,Speed breaker,Crossing,Dry,Daylight,Raining,2,1,Male,Overspeed,Serious Injury
Monday,18-30,Female,E-Bike,Highways,Concrete barriers,Crossing,Dry,Daylight,Raining,2,1,Female,Overspeed,Serious Injury
Thursday,31-50,Female,E-Bike,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Raining,2,1,Female,Overspeed,Slight Injury
Thursday,Under 18,Female,Train,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Raining,2,1,Female,No distancing,Slight Injury
Wednesday,31-50,Female,Aeroplane,Highways,Grass medians,Y Shape,Dry,Night,Raining,2,1,Male,Overspeed,Fatal injury
Wednesday,Under 18,Female,E-Bike,Office areas,Concrete barriers,Y Shape,Dry,Night,Raining,2,1,Female,Overtaking,Fatal injury
Tuesday,31-50,Female,Lorry,Industrial areas,Concrete barriers,No junction,Dry,Daylight,Raining,2,2,Male,Overspeed,Fatal injury
Tuesday,18-30,Female,Train,Office areas,Grass medians,No junction,Dry,Daylight,Raining,2,2,Male,No distancing,Fatal injury
Tuesday,18-30,Female,Train,Highways,Grass medians,No junction,Dry,Daylight,Raining,2,2,Female,Overloading,Fatal injury
Thursday,18-30,Female,E-Bike,Highways,Concrete barriers,No junction,Dry,Night,Raining,3,1,Female,Overspeed,Fatal injury
Thursday,Under 18,Female,Cycle,Office areas,Concrete barriers,No junction,Dry,Night,Raining,3,1,Male,Overloading,Fatal injury
Thursday,Under 18,Female,E-Bike,Highways,Concrete barriers,No junction,Dry,Night,Raining,3,1,Female,Overtaking,Fatal injury
Wednesday,31-50,Female,Public,Office areas,Speed breaker,Crossing,Dry,Daylight,Raining,2,1,Female,Overspeed,Fatal injury
Wednesday,18-30,Female,Public,Residential areas,Speed breaker,Crossing,Dry,Daylight,Raining,2,1,Male,Drunk driving,Fatal injury
Tuesday,Under 18,Female,Aeroplane,Industrial areas,Concrete barriers,No junction,Dry,Night,Raining,2,1,Female,Drunk driving,Fatal injury
